time,temp,setpoint,control
0,20.1,25000,1
1,20.199,25000,1
2,20.297,25000,1
3,20.394,25000,1
4,20.4901,25000,1
5,20.5852,25000,1
6,20.6793,25000,1
7,20.7726,25000,1
8,20.8648,25000,1
9,20.9562,25000,1
10,21.0466,25000,1
11,21.1362,25000,1
12,21.2248,25000,1
13,21.3125,25000,1
14,21.3994,25000,1
15,21.4854,25000,1
16,21.5706,25000,1
17,21.6549,25000,1
18,21.7383,25000,1
19,21.8209,25000,1
20,21.9027,25000,1
21,21.9837,25000,1
22,22.0639,25000,1
23,22.1432,25000,1
24,22.2218,25000,1
25,22.2996,25000,1
26,22.3766,25000,1
27,22.4528,25000,1
28,22.5283,25000,1
29,22.603,25000,1
30,22.677,25000,1
31,22.7502,25000,1
32,22.8227,25000,1
33,22.8945,25000,1
34,22.9655,25000,1
35,23.0359,25000,1
36,23.1055,25000,1
37,23.1745,25000,1
38,23.2427,25000,1
39,23.3103,25000,1
40,23.3772,25000,1
41,23.4434,25000,1
42,23.509,25000,1
43,23.5739,25000,1
44,23.6381,25000,1
45,23.7018,25000,1
46,23.7647,25000,1
47,23.8271,25000,1
48,23.8888,25000,1
49,23.9499,25000,1
50,24.0104,25000,1
51,24.0703,25000,1
52,24.1296,25000,1
53,24.1883,25000,1
54,24.2465,25000,1
55,24.304,25000,1
56,24.3609,25000,1
57,24.4173,25000,1
58,24.4732,25000,1
59,24.5284,25000,1
60,24.5831,25000,1
61,24.6373,25000,1
62,24.6909,25000,1
63,24.744,25000,1
64,24.7966,25000,1
65,24.8486,25000,1
66,24.9001,25000,1
67,24.9511,25000,1
68,25.0016,25000,1
69,25.0516,25000,1
70,25.1011,25000,1
71,25.1501,25000,1
72,25.1986,25000,1
73,25.2466,25000,1
74,25.2941,25000,1
75,25.3412,25000,1
76,25.3878,25000,1
77,25.4339,25000,1
78,25.4796,25000,1
79,25.5248,25000,1
80,25.5695,25000,1
81,25.6138,25000,1
82,25.6577,25000,1
83,25.7011,25000,1
84,25.7441,25000,1
85,25.7867,25000,1
86,25.8288,25000,1
87,25.8705,25000,1
88,25.9118,25000,1
89,25.9527,25000,1
90,25.9932,25000,1
91,26.0332,25000,1
92,26.0729,25000,1
93,26.1122,25000,1
94,26.151,25000,1
95,26.1895,25000,1
96,26.2276,25000,1
97,26.2654,25000,1
98,26.3027,25000,1
99,26.3397,25000,1
100,26.3763,25000,1
101,26.4125,25000,1
102,26.4484,25000,1
103,26.4839,25000,1
104,26.5191,25000,1
105,26.5539,25000,1
106,26.5883,25000,1
107,26.6225,25000,1
108,26.6562,25000,1
109,26.6897,25000,1
110,26.7228,25000,1
111,26.7555,25000,1
112,26.788,25000,1
113,26.8201,25000,1
114,26.8519,25000,1
115,26.8834,25000,1
116,26.9146,25000,1
117,26.9454,25000,1
118,26.976,25000,1
119,27.0062,25000,1
120,27.0361,25000,1
121,27.0658,25000,1
122,27.0951,25000,1
123,27.1242,25000,1
124,27.1529,25000,1
125,27.1814,25000,1
126,27.2096,25000,1
127,27.2375,25000,1
128,27.2651,25000,1
129,27.2925,25000,1
130,27.3195,25000,1
131,27.3463,25000,1
132,27.3729,25000,1
133,27.3991,25000,1
134,27.4252,25000,1
135,27.4509,25000,1
136,27.4764,25000,1
137,27.5016,25000,1
138,27.5266,25000,1
139,27.5513,25000,1
140,27.5758,25000,1
141,27.6001,25000,1
142,27.6241,25000,1
143,27.6478,25000,1
144,27.6714,25000,1
145,27.6946,25000,1
146,27.7177,25000,1
147,27.7405,25000,1
148,27.7631,25000,1
149,27.7855,25000,1
150,27.8076,25000,1
151,27.8296,25000,1
152,27.8513,25000,1
153,27.8727,25000,1
154,27.894,25000,1
155,27.9151,25000,1
156,27.9359,25000,1
157,27.9566,25000,1
158,27.977,25000,1
159,27.9972,25000,1
160,28.0173,25000,1
161,28.0371,25000,1
162,28.0567,25000,1
163,28.0761,25000,1
164,28.0954,25000,1
165,28.1144,25000,1
166,28.1333,25000,1
167,28.152,25000,1
168,28.1704,25000,1
169,28.1887,25000,1
170,28.2068,25000,1
171,28.2248,25000,1
172,28.2425,25000,1
173,28.2601,25000,1
174,28.2775,25000,1
175,28.2947,25000,1
176,28.3118,25000,1
177,28.3287,25000,1
178,28.3454,25000,1
179,28.3619,25000,1
180,28.3783,25000,1
181,28.3945,25000,1
182,28.4106,25000,1
183,28.4265,25000,1
184,28.4422,25000,1
185,28.4578,25000,1
186,28.4732,25000,1
187,28.4885,25000,1
188,28.5036,25000,1
189,28.5186,25000,1
190,28.5334,25000,1
191,28.548,25000,1
192,28.5626,25000,1
193,28.5769,25000,1
194,28.5912,25000,1
195,28.6052,25000,1
196,28.6192,25000,1
197,28.633,25000,1
198,28.6467,25000,1
199,28.6602,25000,1
200,28.6736,25000,1
201,28.6869,25000,1
202,28.7,25000,1
203,28.713,25000,1
204,28.7259,25000,1
205,28.7386,25000,1
206,28.7512,25000,1
207,28.7637,25000,1
208,28.7761,25000,1
209,28.7883,25000,1
210,28.8004,25000,1
211,28.8124,25000,1
212,28.8243,25000,1
213,28.8361,25000,1
214,28.8477,25000,1
215,28.8592,25000,1
216,28.8706,25000,1
217,28.8819,25000,1
218,28.8931,25000,1
219,28.9042,25000,1
220,28.9151,25000,1
221,28.926,25000,1
222,28.9367,25000,1
223,28.9474,25000,1
224,28.9579,25000,1
225,28.9683,25000,1
226,28.9786,25000,1
227,28.9888,25000,1
228,28.9989,25000,1
229,29.009,25000,1
230,29.0189,25000,1
231,29.0287,25000,1
232,29.0384,25000,1
233,29.048,25000,1
234,29.0575,25000,1
235,29.0669,25000,1
236,29.0763,25000,1
237,29.0855,25000,1
